DRUG_NAME,accuracy,precision,recall,f1,roc_auc
Sepantronium bromide,0.5787671232876712,0.6198347107438017,0.4934210526315789,0.5494505494505495,0.6186795112781954
VSP34_8731,0.594059405940594,0.5454545454545454,0.5333333333333333,0.5393258426966292,0.6169642857142857
Ipatasertib,0.565068493150685,0.5984251968503937,0.5,0.5448028673835126,0.6139097744360902
150412,0.6111111111111112,0.6352941176470588,0.54,0.5837837837837838,0.6138775510204082
BMS-754807,0.6048951048951049,0.6589147286821705,0.551948051948052,0.6007067137809188,0.6126279024006297
Staurosporine,0.5993150684931506,0.5939849624060151,0.5563380281690141,0.5745454545454546,0.6092018779342723
AZ960,0.6335877862595419,0.6363636363636364,0.5555555555555556,0.5932203389830508,0.6076680672268907
XAV939,0.5606060606060606,0.5272727272727272,0.47540983606557374,0.5,0.6067305472177327
GNE-317,0.5689655172413793,0.5433070866141733,0.5073529411764706,0.5247148288973384,0.5992408326967151
AGK2,0.573943661971831,0.648,0.5126582278481012,0.5724381625441696,0.5991310026120154
Uprosertib,0.5445205479452054,0.49606299212598426,0.4772727272727273,0.4864864864864865,0.5932054924242425
WIKI4,0.5376712328767124,0.5968992248062015,0.48125,0.532871972318339,0.5925899621212121
CCT-018159,0.5952380952380952,0.625,0.47619047619047616,0.5405405405405406,0.5918367346938775
Remodelin,0.5531914893617021,0.5,0.5714285714285714,0.5333333333333333,0.5915750915750916
SCH772984,0.6267123287671232,0.6241610738255033,0.636986301369863,0.6305084745762712,0.5910114468005255
MG-132,0.5445205479452054,0.5267175572519084,0.4928571428571429,0.5092250922509225,0.5906015037593985
Dactolisib,0.565068493150685,0.5826086956521739,0.4589041095890411,0.5134099616858238,0.5896275098517545
AZD8186,0.5376712328767124,0.6141732283464567,0.47560975609756095,0.5360824742268041,0.5890577362804879
N-acetyl cysteine,0.5637254901960784,0.6,0.5277777777777778,0.5615763546798029,0.5886863425925927
MN-64,0.5725190839694656,0.5818181818181818,0.49230769230769234,0.5333333333333333,0.5885780885780887
AT13148,0.5769230769230769,0.7073170731707317,0.5058139534883721,0.5898305084745763,0.5881527947776417
AZD8055,0.529126213592233,0.6129032258064516,0.4830508474576271,0.5402843601895735,0.5876829738058551
Tanespimycin,0.583916083916084,0.5504587155963303,0.46153846153846156,0.502092050209205,0.5872781065088757
Entospletinib,0.5648854961832062,0.5178571428571429,0.4915254237288136,0.5043478260869565,0.5861581920903955
PF-4708671,0.6170212765957447,0.6875,0.4583333333333333,0.55,0.5733695652173914
AZD2014,0.5247524752475248,0.5111111111111111,0.46938775510204084,0.48936170212765956,0.573096546310832
OF-1,0.549618320610687,0.5740740740740741,0.4626865671641791,0.512396694214876,0.5671058768656716
Ibrutinib,0.5230769230769231,0.5892857142857143,0.4583333333333333,0.515625,0.5611829501915708
AZD1332,0.5742574257425742,0.5,0.5116279069767442,0.5057471264367817,0.5503207698476343
ERK_6604,0.5495049504950495,0.5339805825242718,0.5612244897959183,0.5472636815920398,0.5499411302982733
Sapitinib,0.5171232876712328,0.5748031496062992,0.45625,0.5087108013937283,0.5474668560606061
OSI-027,0.5758620689655173,0.488,0.5083333333333333,0.49795918367346936,0.5459803921568628
